pregunta,respuesta,categoria
"Que hace Rosa Reina?","Rosa Reina fabrica uniformes infantiles y ayuda a escuelas infantiles a crear o renovar su marca, imagen corporativa y comunicacion visual. Tambien ofrece servicios de consultoria creativa, manuales de identidad, guia WebWin, diseno web, contenido educativo, materiales, recursos, mascotas y complementos.","faq"
"Que tipos de uniformes trabaja Rosa Reina?","Trabaja uniformes infantiles para nino, nina y bebe, babis, uniformes para educadoras y educadores, complementos y propuestas de uniformes que educan. Cada proyecto se adapta a la identidad del centro.","faq"
"Rosa Reina puede ayudar con la marca de una escuela?","Si. Rosa Reina ayuda a crear una marca de escuela con identidad visual, uniformes, manuales corporativos, comunicacion y recursos para que el centro transmita mejor su esencia y se diferencie.","faq"
"Que son los uniformes que educan?","Son propuestas de uniformes y complementos pensadas para reforzar la marca educativa del centro y convertir la imagen del colegio o escuela infantil en una herramienta pedagogica y de comunicacion.","faq"
"Ofrece servicios digitales o web?","Si. Rosa Reina ofrece servicios relacionados con marca, guia WebWin y diseno web para escuelas infantiles, orientados a mejorar la imagen del centro y convertir visitas en clientes potenciales.","faq"
"Da Rosa Reina precios por WhatsApp?","No. Los precios, presupuestos, cantidades para cotizar, pedidos y plazos deben revisarse por administracion porque cada proyecto se personaliza. El asistente debe derivar estas consultas al equipo de Rosa Reina.","faq"
"Como puedo contactar con Rosa Reina?","Puedes contactar con Rosa Reina por telefono en 952 376 908 o 689 052 020, o por email en info@rosareina.com. Para presupuestos o pedidos, el asistente debe derivar a administracion.","faq"
"Donde esta Rosa Reina?","Rosa Reina Morales S.L. esta en C/ Madre Teresa de Calcuta, Nave 6B, 29620 Torremolinos, Malaga.","faq"
"Que informacion puede dar el asistente?","El asistente puede informar sobre productos, familias de uniformes, babis, complementos, servicios de marca, proceso general y canales de contacto. No debe comunicar precios, descuentos, tarifas, condiciones especiales, pedidos de otros clientes ni documentos privados.","faq"
"Que informacion debe derivar el asistente?","Debe derivar cualquier consulta sobre precios, presupuesto, pedido, cantidad para cotizar, descuento, tarifa, contrato, condicion especial o plazo comprometido. La respuesta debe empezar con [DERIVAR] para que el flujo avise a administracion.","faq"
